learning_rate,batch_size,momentum,optimizer_type,num_epochs,final_accuracy,final_train_loss,final_val_loss,best_val_accuracy,time_to_best,training_stability,peak_train_accuracy
0.01,8,0.8,SGD,10,91.30434782608695,0.0399838083290628,0.31176182130972546,91.30434782608695,4,16.05755244575599,0.0399838083290628
0.01,8,0.8,Adam,10,26.08695652173913,1.537626964705331,12.796038309733072,34.78260869565217,3,7.593151824596947,1.4169245191982813
0.01,8,0.9,SGD,10,39.130434782608695,0.14292152325755783,2.0080724954605103,82.6086956521739,4,19.6182855177017,0.0687235630383449
0.01,8,0.9,Adam,10,17.391304347826086,1.4810094322477068,5.416478315989177,30.434782608695652,8,4.682752006203916,1.4810094322477068
0.01,8,0.95,SGD,10,39.130434782608695,1.7473726613180978,4.535296440124512,78.26086956521739,3,21.388476306519728,0.1419288900547794
0.01,8,0.95,Adam,10,13.043478260869565,1.686630129814148,2.8104463815689087,26.08695652173913,4,5.217391304347826,1.4239408458982195
0.01,16,0.8,SGD,10,86.95652173913044,0.27553923428058624,0.6464125216007233,91.30434782608695,6,20.188150897815476,0.07172374334186316
0.01,16,0.8,Adam,10,21.73913043478261,1.3194457590579987,1234.7337036132812,34.78260869565217,2,8.952721861727825,1.3194457590579987
0.01,16,0.9,SGD,10,78.26086956521739,0.012469731154851615,0.4470950961112976,91.30434782608695,6,15.68233808423603,0.012469731154851615
0.01,16,0.9,Adam,10,17.391304347826086,1.24419105052948,4.512416839599609,34.78260869565217,5,5.217391304347825,1.24419105052948
0.01,16,0.95,SGD,10,78.26086956521739,0.006037437662598677,0.8564998209476471,82.6086956521739,4,20.061342600103178,0.006037437662598677
0.01,16,0.95,Adam,10,26.08695652173913,1.3539605736732483,65.89180564880371,34.78260869565217,2,8.867860023639626,1.314752846956253
0.01,32,0.8,SGD,10,91.30434782608695,0.10915850475430489,0.642959475517273,91.30434782608695,6,26.43249418012289,0.10915850475430489
0.01,32,0.8,Adam,10,17.391304347826086,1.1247951090335846,424.8216857910156,26.08695652173913,3,3.913043478260869,1.1202809810638428
0.01,32,0.9,SGD,10,86.95652173913044,0.04827342927455902,0.41886913776397705,95.65217391304348,4,14.155496170521486,0.04827342927455902
0.01,32,0.9,Adam,10,26.08695652173913,0.8248054683208466,1130.04541015625,34.78260869565217,3,6.735623210795508,0.8248054683208466
0.01,32,0.95,SGD,10,82.6086956521739,0.027239598333835602,0.47466710209846497,82.6086956521739,8,14.608954449053428,0.027239598333835602
0.01,32,0.95,Adam,10,17.391304347826086,0.6458072364330292,4362.1494140625,21.73913043478261,1,1.304347826086957,0.6458072364330292
0.01,64,0.8,SGD,10,82.6086956521739,0.5073214769363403,0.9447278380393982,82.6086956521739,9,15.70642771146821,0.5073214769363403
0.01,64,0.8,Adam,10,30.434782608695652,0.7245146036148071,44127.69140625,30.434782608695652,7,9.365504012407833,0.7245146036148071
0.01,64,0.9,SGD,10,78.26086956521739,0.3865317702293396,0.862363874912262,78.26086956521739,9,18.65516343732603,0.3865317702293396
0.01,64,0.9,Adam,10,13.043478260869565,0.9017470479011536,10388.5244140625,30.434782608695652,2,6.7356232107955085,0.8050972819328308
0.01,64,0.95,SGD,10,73.91304347826087,0.2708648145198822,0.9231811165809631,73.91304347826087,10,14.65417351856758,0.2708648145198822
0.01,64,0.95,Adam,10,21.73913043478261,0.32954442501068115,15184.9541015625,21.73913043478261,1,3.4782608695652177,0.32954442501068115
0.001,8,0.8,SGD,10,69.56521739130434,0.8175986579486302,1.1307002305984497,69.56521739130434,10,14.215463238497229,0.8175986579486302
0.001,8,0.8,Adam,10,65.21739130434783,0.37031452677079607,0.8586070239543915,78.26086956521739,4,11.470353007193843,0.201577968363251
0.001,8,0.9,SGD,10,86.95652173913044,0.4574398994445801,0.8960557778676351,86.95652173913044,7,18.348650300877562,0.4574398994445801
0.001,8,0.9,Adam,10,56.52173913043478,0.1623837405017444,0.8423677484194437,86.95652173913044,7,12.025492770382028,0.1623837405017444
0.001,8,0.95,SGD,10,100.0,0.18318277703864233,0.35148146748542786,100.0,10,21.494273207492654,0.18318277703864233
0.001,8,0.95,Adam,10,60.869565217391305,0.4534103572368622,2.8008434772491455,86.95652173913044,1,16.84467011113958,0.2397458553314209
0.001,16,0.8,SGD,10,52.17391304347826,1.0448720753192902,1.3967667818069458,52.17391304347826,10,16.956521739130434,1.0448720753192902
0.001,16,0.8,Adam,10,91.30434782608695,0.35516185499727726,0.26784684928134084,95.65217391304348,5,7.327086759283792,0.028732029255479574
0.001,16,0.9,SGD,10,52.17391304347826,0.9521231204271317,1.1974870562553406,73.91304347826087,5,23.738493382119476,0.8693781197071075
0.001,16,0.9,Adam,10,73.91304347826087,0.2912095729261637,0.8084681630134583,95.65217391304348,7,17.282266882045036,0.02517139632254839
0.001,16,0.95,SGD,10,91.30434782608695,0.5873765498399734,0.9165172874927521,91.30434782608695,10,17.001056344362738,0.5873765498399734
0.001,16,0.95,Adam,10,73.91304347826087,0.44621954252943397,1.025355041027069,91.30434782608695,4,9.120076940610012,0.04026727192103863
0.001,32,0.8,SGD,10,43.47826086956522,1.2195982933044434,1.4221800565719604,43.47826086956522,10,8.792934093981167,1.2195982933044434
0.001,32,0.8,Adam,10,73.91304347826087,0.0020079826936125755,1.2054849863052368,82.6086956521739,3,8.792934093981165,0.0020079826936125755
0.001,32,0.9,SGD,10,39.130434782608695,1.1256898641586304,1.4016718864440918,39.130434782608695,6,11.03354568734741,1.1256898641586304
0.001,32,0.9,Adam,10,82.6086956521739,0.004449987434782088,0.7840816378593445,82.6086956521739,8,6.086956521739129,0.0025468860985711217
0.001,32,0.95,SGD,10,56.52173913043478,0.9656210839748383,1.2976620197296143,56.52173913043478,10,8.430747578115355,0.9656210839748383
0.001,32,0.95,Adam,10,86.95652173913044,0.0016732955118641257,0.4188462495803833,91.30434782608695,3,8.91039197039965,0.0016732955118641257
0.001,64,0.8,SGD,10,43.47826086956522,1.435302495956421,1.5212050676345825,43.47826086956522,10,8.12240943142148,1.435302495956421
0.001,64,0.8,Adam,10,78.26086956521739,0.0034769882913678885,0.6171789765357971,78.26086956521739,9,9.68306845709569,0.0034769882913678885
0.001,64,0.9,SGD,10,26.08695652173913,1.4037495851516724,1.5147849321365356,26.08695652173913,5,2.129991080681023,1.4037495851516724
0.001,64,0.9,Adam,10,91.30434782608695,0.002975490875542164,0.4420553147792816,91.30434782608695,9,9.161438045958903,0.002975490875542164
0.001,64,0.95,SGD,10,21.73913043478261,1.3514679670333862,1.5695273876190186,30.434782608695652,6,4.433930011819813,1.3514679670333862
0.001,64,0.95,Adam,10,86.95652173913044,0.0030337439384311438,0.24211344122886658,95.65217391304348,3,3.2536151189338622,0.0030337439384311438
0.0001,8,0.8,SGD,10,26.08695652173913,1.4978266102927071,1.6295694907506306,26.08695652173913,9,5.235475903822737,1.4978266102927071
0.0001,8,0.8,Adam,10,86.95652173913044,0.22195776445525034,0.5995396773020426,91.30434782608695,9,9.325048082403137,0.22195776445525034
0.0001,8,0.9,SGD,10,30.434782608695652,1.4680826153073991,1.6370439132054646,30.434782608695652,9,7.0643812214225745,1.451023084776742
0.0001,8,0.9,Adam,10,82.6086956521739,0.1553313434123993,0.7452698945999146,82.6086956521739,9,12.017630400943697,0.1553313434123993
0.0001,8,0.95,SGD,10,34.78260869565217,1.3488479001181466,1.4816922346750896,39.130434782608695,8,12.328214677180718,1.3488479001181466
0.0001,8,0.95,Adam,10,86.95652173913044,0.1821606946843011,0.6237520178159078,91.30434782608695,7,16.635762147573036,0.1821606946843011
0.0001,16,0.8,SGD,10,26.08695652173913,1.5943873524665833,1.5822755694389343,26.08695652173913,3,1.9924242151981904,1.5864749550819397
0.0001,16,0.8,Adam,10,86.95652173913044,0.3280136473476887,0.8824170529842377,86.95652173913044,9,17.841986546681035,0.3280136473476887
0.0001,16,0.9,SGD,10,34.78260869565217,1.4996720850467682,1.5757966041564941,39.130434782608695,8,6.735623210795508,1.4996720850467682
0.0001,16,0.9,Adam,10,69.56521739130434,0.2930460497736931,1.0031996369361877,73.91304347826087,6,9.415829490307702,0.2930460497736931
0.0001,16,0.95,SGD,10,47.82608695652174,1.4529036581516266,1.48440682888031,47.82608695652174,10,8.575253444920008,1.4362694919109344
0.0001,16,0.95,Adam,10,65.21739130434783,0.25216085836291313,1.0885828733444214,69.56521739130434,5,10.187282185965202,0.25216085836291313
0.0001,32,0.8,SGD,10,34.78260869565217,1.5806854367256165,1.54781973361969,39.130434782608695,7,2.8840215568307817,1.5607768297195435
0.0001,32,0.8,Adam,10,82.6086956521739,0.3121122717857361,0.9430684447288513,82.6086956521739,9,18.05264303654495,0.3121122717857361
0.0001,32,0.9,SGD,10,26.08695652173913,1.5584341287612915,1.6171576976776123,26.08695652173913,9,3.0434782608695654,1.5584341287612915
0.0001,32,0.9,Adam,10,73.91304347826087,0.3245551288127899,1.1535636186599731,73.91304347826087,10,11.470353007193843,0.3245551288127899
0.0001,32,0.95,SGD,10,8.695652173913043,1.6311307549476624,1.7236039638519287,13.043478260869565,1,1.7391304347826086,1.6204811930656433
0.0001,32,0.95,Adam,10,86.95652173913044,0.2712424695491791,0.8932927846908569,86.95652173913044,3,7.777627747825356,0.2712424695491791
0.0001,64,0.8,SGD,10,17.391304347826086,1.6464006900787354,1.6229099035263062,17.391304347826086,1,1.3043478260869565,1.6402289867401123
0.0001,64,0.8,Adam,10,73.91304347826087,0.4338817894458771,1.2345824241638184,73.91304347826087,10,20.434782608695656,0.4338817894458771
0.0001,64,0.9,SGD,10,13.043478260869565,1.6710762977600098,1.6274430751800537,21.73913043478261,1,3.395760728655068,1.6143724918365479
0.0001,64,0.9,Adam,10,60.869565217391305,0.447113960981369,1.289533019065857,65.21739130434783,8,22.00274944153043,0.447113960981369
0.0001,64,0.95,SGD,10,26.08695652173913,1.6234341859817505,1.5853264331817627,26.08695652173913,6,3.790346907426672,1.598061442375183
0.0001,64,0.95,Adam,10,65.21739130434783,0.4343140423297882,1.189904808998108,65.21739130434783,9,11.867255707787983,0.4343140423297882
1e-05,8,0.8,SGD,10,26.08695652173913,1.6368271282741003,1.6760679086049397,26.08695652173913,1,3.552713678800501e-15,1.6287816592625208
1e-05,8,0.8,Adam,10,47.82608695652174,1.3411984954561507,1.4620277484258015,47.82608695652174,8,9.924097574359417,1.3411984954561507
1e-05,8,0.9,SGD,10,21.73913043478261,1.6260767323630196,1.6770365238189697,21.73913043478261,3,1.7391304347826093,1.5970635414123535
1e-05,8,0.9,Adam,10,43.47826086956522,1.2788676704679216,1.482795278231303,43.47826086956522,9,8.920993273340518,1.240490504673549
1e-05,8,0.95,SGD,10,26.08695652173913,1.6180335964475359,1.5789862473805745,34.78260869565217,1,6.164107338590359,1.5960735593523299
1e-05,8,0.95,Adam,10,39.130434782608695,1.232144934790475,1.5504013697306316,39.130434782608695,10,9.575093715454452,1.232144934790475
1e-05,16,0.8,SGD,10,13.043478260869565,1.6118934452533722,1.6134053468704224,21.73913043478261,1,2.783967059753413,1.5789555311203003
1e-05,16,0.8,Adam,10,21.73913043478261,1.3312552869319916,1.575389564037323,21.73913043478261,6,4.539263699526327,1.3312552869319916
1e-05,16,0.9,SGD,10,17.391304347826086,1.6398196816444397,1.665622055530548,30.434782608695652,1,5.162757429146921,1.6136752367019653
1e-05,16,0.9,Adam,10,43.47826086956522,1.2546491920948029,1.4613198637962341,52.17391304347826,2,4.347826086956521,1.2546491920948029
1e-05,16,0.95,SGD,10,39.130434782608695,1.5827029943466187,1.5360419750213623,47.82608695652174,6,3.253615118933863,1.5827029943466187
1e-05,16,0.95,Adam,10,52.17391304347826,1.414445161819458,1.4852031469345093,52.17391304347826,9,7.642780796194324,1.3897183537483215
1e-05,32,0.8,SGD,10,17.391304347826086,1.5840485095977783,1.6044844388961792,21.73913043478261,1,1.9924242151981917,1.5840485095977783
1e-05,32,0.8,Adam,10,26.08695652173913,1.3614352941513062,1.5833914279937744,26.08695652173913,6,4.539263699526326,1.3614352941513062
1e-05,32,0.9,SGD,10,17.391304347826086,1.6615177392959595,1.6036933660507202,21.73913043478261,1,1.304347826086957,1.6203140020370483
1e-05,32,0.9,Adam,10,21.73913043478261,1.3620418310165405,1.5770998001098633,21.73913043478261,1,3.552713678800501e-15,1.3620418310165405
1e-05,32,0.95,SGD,10,17.391304347826086,1.7639816999435425,1.6770493984222412,26.08695652173913,2,3.4782608695652173,1.6754120588302612
1e-05,32,0.95,Adam,10,17.391304347826086,1.3946107029914856,1.605899691581726,21.73913043478261,3,3.8888138739126785,1.3722591996192932
1e-05,64,0.8,SGD,10,21.73913043478261,1.5147590637207031,1.5910618305206299,21.73913043478261,1,3.552713678800501e-15,1.5131454467773438
1e-05,64,0.8,Adam,10,26.08695652173913,1.4050838947296143,1.555315375328064,34.78260869565217,1,3.8888138739126767,1.4050838947296143
1e-05,64,0.9,SGD,10,13.043478260869565,1.5593490600585938,1.6574866771697998,13.043478260869565,1,1.992424215198191,1.5593490600585938
1e-05,64,0.9,Adam,10,30.434782608695652,1.3676364421844482,1.5555170774459839,30.434782608695652,10,4.101730926981132,1.3676364421844482
1e-05,64,0.95,SGD,10,26.08695652173913,1.6646555662155151,1.579877257347107,26.08695652173913,6,2.1739130434782603,1.6120319366455078
1e-05,64,0.95,Adam,10,17.391304347826086,1.400571584701538,1.5941013097763062,17.391304347826086,8,4.841534228547845,1.400571584701538
